Platform,MinimumBIOSVersion
Inspiron 3020 Desktop,1.29.1
Inspiron 3020 Small Desktop,1.29.1
Inspiron 3030,1.19.1
Inspiron 3030S,1.19.1
Inspiron 3501,1.41.0
Inspiron 3502,1.25.0
Inspiron 3501,1.41.0
Inspiron 3910,1.34.1
Inspiron 5400/5401,1.39.0
Inspiron 5401 All-in-One,1.39.0
Inspiron 5410 All-in-One,1.32.1
Inspiron 5415,1.30.0
Inspiron 5515,1.30.0
Inspiron 7415 2-in-1,1.31.0
Inspiron 7700 All-In-One,1.39.0
Inspiron 7710 All-in-One,1.32.1
Dell Edge Gateway 5000,1.34.0
Edge Gateway 3000 series,1.24.0
Embedded Box PC 3000,1.30.0
Embedded Box PC 5000,1.31.0
Latitude 12 Rugged Extreme 7214,1.52.0
Latitude 3120,1.37.0
Latitude 3140,1.25.5
Latitude 3140 2-in-1,1.25.5
Latitude 3190,1.42.0
Latitude 3190 2-in-1,1.42.0
Latitude 3301,1.37.0
Latitude 3310,1.31.0
Latitude 3310 2-In-1,1.30.0
Latitude 3320,1.40.0
Latitude 3330,1.32.1
Latitude 3340,1.25.1
Latitude 3400,1.39.0
Latitude 3410,1.36.0
Latitude 3420,1.44.0
Latitude 3430,1.30.1
Latitude 3440,1.25.1
Latitude 3450,1.16.1
Latitude 3500,1.39.0
Latitude 3510,1.36.0
Latitude 3520,1.44.0
Latitude 3530,1.30.1
Latitude 3540,1.25.1
Latitude 3550,1.16.1
Latitude 5300,1.37.0
Latitude 5300 2-in-1,1.37.0
Latitude 5310,1.30.0
Latitude 5310 2-in-1,1.30.0
Latitude 5320,1.46.0
Latitude 5330,1.32.1
Latitude 5340,1.24.1
Latitude 5350,1.16.1
Latitude 5400,1.41.1
Latitude 5401,1.42.1
Latitude 5410,1.38.1
Latitude 5411,1.39.1
Latitude 5420,1.49.0
Latitude 5420 Rugged,1.40.0
Latitude 5421,1.41.0
Latitude 5424 Rugged,1.40.0
Latitude 5430,1.32.1
Latitude 5430 Rugged Laptop,1.39.0
Latitude 5431,1.33.1
Latitude 5440,1.25.1
Latitude 5450,1.16.2
Latitude 5455,2.11.0
Latitude 5500,1.41.1
Latitude 5501,1.42.1
Latitude 5510,1.38.1
Latitude 5511,1.39.1
Latitude 5520,1.46.0
Latitude 5521,1.39.0
Latitude 5530,1.32.1
Latitude 5531,1.32.1
Latitude 5540,1.24.1
Latitude 5550,1.16.2
Latitude 7030 Rugged Extreme,1.17.3
Latitude 7200 2-In-1,1.38.0
Latitude 7210 2-in-1,1.40.0
Latitude 7212 Rugged Extreme Tablet,1.58.0
Latitude 7220 Rugged Extreme,1.48.0
Latitude 7230 Rugged Extreme,1.26.4
Latitude 7300,1.42.1
Latitude 7310,1.41.1
Latitude 7320,1.46.0
Latitude 7320 Detachable,1.43.0
Latitude 7330,1.34.1
Latitude 7330 Rugged Laptop,1.39.0
Latitude 7340,1.25.1
Latitude 7350,1.16.1
Latitude 7350 Detachable,1.14.1
Latitude 7400,1.42.1
Latitude 7400 2-In-1,1.37.0
Latitude 7410,1.41.1
Latitude 7420,1.46.0
Latitude 7424 Rugged Extreme,1.40.0
Latitude 7430,1.34.1
Latitude 7440,1.25.1
Latitude 7450,1.16.0
Latitude 7455,2.11.0
Latitude 7520,1.46.0
Latitude 7530,1.34.1
Latitude 7640,1.25.1
Latitude 7650,1.16.0
Latitude 9330,1.31.0
Latitude 9410,1.39.1
Latitude 9420,1.42.0
Latitude 9430,1.34.1
Latitude 9440 2-in-1,1.23.1
Latitude 9450,1.15.0
Latitude 9510 2-in-1,1.38.0
Latitude 9520,1.43.0
Latitude Rugged 7220EX,1.48.0
OptiPlex 3000 Micro / OptiPlex 3000 Small Form Factor / OptiPlex 3000 Tower,1.34.1
OptiPlex 3000 Thin Client,1.29.2
OptiPlex 3070,1.35.0
OptiPlex 3080,2.33.0
OptiPlex 3090,2.27.0
OptiPlex 3090 Ultra,1.38.0
OptiPlex 3280 All-in-One,1.41.0
OptiPlex 5000 Micro / OptiPlex 5000 Small Form Factor / OptiPlex 5000 Tower,1.33.0
OptiPlex 5070,1.35.0
OptiPlex 5080,1.33.0
OptiPlex 5090 Micro / OptiPlex 5090 Small Form Factor / OptiPlex 5090 Tower,1.37.0
OptiPlex 5270 All-in-One,1.40.0
OptiPlex 5400 All-In-One,1.1.53
OptiPlex 5480 All-in-One,1.42.0
OptiPlex 5490 All-In-One,1.43.0
OptiPlex 7000 Micro,1.33.2
OptiPlex 7000 Small Form Factor,1.33.2
OptiPlex 7000 Tower,1.33.2
OptiPlex 7000 XE Micro,1.33.2
OptiPlex 7070,1.35.0
OptiPlex 7070 Ultra,1.33.0
OptiPlex 7071,1.35.0
OptiPlex 7080,1.36.0
OptiPlex 7090 Tower,1.37.0
OptiPlex 7090 Ultra,1.38.0
OptiPlex 7400 All-In-One,1.1.53
OptiPlex 7470 All-in-One,1.40.0
OptiPlex 7480 All-in-One,1.42.0
OptiPlex 7490 All-In-One,1.43.0
OptiPlex 7770 All-in-One,1.40.0
OptiPlex 7780 All-in-One,1.42.0
OptiPlex AIO 7420,1.20.0
OptiPlex All-in-One 7410,1.30.0
OptiPlex Micro 7010 / OptiPlex Micro Plus 7010,1.30.0
OptiPlex Micro 7020,1.20.0
OptiPlex SFF 7020,1.20.0
OptiPlex Small Form Factor 7010 / OptiPlex Small Form Factor Plus 7010,1.30.0
OptiPlex Tower 7010 / OptiPlex Tower Plus 7010,1.30.0
OptiPlex Tower 7020,1.20.0
OptiPlex XE3,1.38.0
Precision 3240 Compact,1.38.0
Precision 3260 XE Compact,3.18.3
Precision 3260 Compact,3.18.3
Precision 3430 Tower,1.37.0
Precision 3431 Tower,1.36.0
Precision 3440,1.36.0
Precision 3450,1.37.0
Precision 3460 XE Small Form Factor,3.18.3
Precision 3460 Small Form Factor,3.18.3
Precision 3470,1.33.1
Precision 3480,1.25.1
Precision 3490,1.16.2
Precision 3540,1.41.1
Precision 3541,1.42.1
Precision 3550,1.38.1
Precision 3551,1.39.1
Precision 3560,1.46.0
Precision 3561,1.39.0
Precision 3570,1.32.1
Precision 3571,1.32.1
Precision 3580,1.24.1
Precision 3581,1.24.1
Precision 3590,1.16.2
Precision 3591,1.16.2
Precision 3630 Tower,2.37.0
Precision 3640,1.41.0
Precision 3650 Tower,1.44.0
Precision 3660,2.30.1
Precision 3680 Tower,1.18.2
Precision 3930 Rack,2.40.0
Precision 5470,1.34.0
Precision 5480,1.22.1
Precision 5490,1.14.2
Precision 5540,1.39.0
Precision 5550,1.39.0
Precision 5560,1.41.0
Precision 5570,1.35.0
Precision 5680,1.23.1
Precision 5690,1.15.1
Precision 5750,1.37.0
Precision 5760,1.37.0
Precision 5770,1.35.0
Precision 5820 Tower,2.46.0
Precision 5860 Tower,3.1.1
Precision 7540,1.43.1
Precision 7550,1.41.1
Precision 7560,1.42.0
Precision 7670,1.32.0
Precision 7680,1.23.6
Precision 7740,1.43.1
Precision 7750,1.41.1
Precision 7760,1.42.0
Precision 7770,1.32.0
Precision 7780,1.23.6
Precision 7820 Tower,2.50.0
Precision 7865 Tower,1.21.1
Precision 7875 Tower,2.2.1
Precision 7920 Tower,2.50.0
Precision 7960 Tower,2.13.1
Vostro 3020 Small Desktop,1.29.1
Vostro 3020 Tower Desktop,1.29.1
Vostro 3030,1.19.1
Vostro 3030S,1.19.1
Vostro 3690,1.37.0
Vostro 3710,1.34.1
Vostro 3890,1.37.0
Vostro 3910,1.34.1
Vostro 14 3420,1.35.0
Vostro 14 3425,1.31.1
Vostro 14 3430,1.23.2
Vostro 14 3435,1.24.1
Vostro 14 3440,1.15.1
Vostro 14 5410,2.37.0
Vostro 15 3510,1.40.0
Vostro 15 3515,1.36.1
Vostro 15 3520,1.35.0
Vostro 15 3525,1.31.1
Vostro 15 3530,1.23.2
Vostro 15 3535,1.24.1
Vostro 15 5510,2.37.0
Vostro 16 5630,1.24.1
Vostro 16 5635,1.18.0
Vostro 16 5640,1.15.1
Vostro 3020 Small Desktop,1.29.1
Vostro 3020 Tower Desktop,1.29.1
Vostro 3030,1.19.1
Vostro 3030S,1.19.1
Vostro 3400,1.41.0
Vostro 3401,1.41.0
Vostro 3405,1.35.1
Vostro 3500,1.41.0
Vostro 3501,1.41.0
Vostro 3690,1.37.0
Vostro 3710,1.34.1
Vostro 3890,1.37.0
Vostro 3910,1.34.1
Vostro 5320,1.28.0
Vostro 5415,1.30.0
Vostro 5515,1.30.0
Vostro 5620,1.31.0
Vostro 5625,1.24.0
Vostro 7620,1.32.0
Wyse 5070,1.38.0
Wyse 5470,1.32.0
Wyse 5470 All-In-One,1.33.0
XPS 13 9305,1.33.0
XPS 13 9310,3.34.0
XPS 13 9315,1.32.0
XPS 13 9340,1.19.0
XPS 13 9345,2.0.9
XPS 13 9350 (shipped 2024 or later),1.14.0
XPS 13 Plus 9320,2.24.1
XPS 14 9440,1.17.0
XPS 15 9500,1.39.0
XPS 15 9510,1.41.0
XPS 15 9520,1.35.0
XPS 15 9530,1.25.1
XPS 16 9640,1.17.0
XPS 17 9710,1.37.0
XPS 17 9720,1.35.0
XPS 17 9730,1.22.1
XPS 8950,1.29.0
XPS 8960,2.20.1
XPS 9315 2-in-1,1.25.0
XPS 9320,2.24.1
